,,,,,,Prowizje,,,,,,,Opłata,,,,,,,,Prowizja Kuba,,,,,Prowizja Agent 1,,,,Prowizja Agent 2,,,,Prowizja Agent 3,,,
Sprawa,Zakończona?,Wywalczona kwota,Opłata wstępna,Success fee,Całość prowizji,Prowizja Kuba,Do wypłaty Kuba,Prowizja Agent 1,Prowizja Agent 2,Prowizja Agent 3,Prowizja Agent 4,Prowizja Agent 5,Rata 1,,Rata 2,,Rata 3,,Ostatnia,,Rata 1,Nr faktury,Rata 2,Rata 3,Ostatnia,Rata 1,Rata 2,Rata 3,Ostatnia,Rata 1,Rata 2,Rata 3,Ostatnia,Rata 1,Rata 2,Rata 3,Ostatnia
Agnieszka Kowalczyk,FALSE,"300 000,00 zł","9 000,00 zł","8,00%","33 000,00 zł","25,00%","15,00%","10,00%",,,,,"3 000,00 zł",TRUE,"3 000,00 zł",FALSE,"3 000,00 zł",FALSE,"24 000,00 zł",FALSE,"450,00 zł",,"450,00 zł","450,00 zł","3 600,00 zł","300,00 zł","300,00 zł","300,00 zł","2 400,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł"
Andrzej Kozłowski,FALSE,"1 000,00 zł","2 000,00 zł","20,00%","2 200,00 zł","28,00%","8,00%","15,00%","5,00%",,,,"2 000,00 zł",FALSE,,FALSE,,FALSE,"200,00 zł",FALSE,"160,00 zł",,"0,00 zł","0,00 zł","16,00 zł","300,00 zł","0,00 zł","0,00 zł","30,00 zł","100,00 zł","0,00 zł","0,00 zł","10,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł"
Anna Nowak,FALSE,"534 607,62 zł","10 000,00 zł","8,00%","52 768,61 zł","28,00%","13,00%","15,00%",,,,,"52 768,61 zł",FALSE,,FALSE,,FALSE,"0,00 zł",FALSE,"6 859,92 zł",,"0,00 zł","0,00 zł","0,00 zł","7 915,29 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł"
,,,,,"0,00 zł",,"0,00%",,,,,,,FALSE,,FALSE,,FALSE,"0,00 zł",FALSE,"0,00 zł",,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł"
,,,,,"0,00 zł",,"0,00%",,,,,,,FALSE,,FALSE,,FALSE,"0,00 zł",FALSE,"0,00 zł",,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł"
,,,,,"0,00 zł",,"0,00%",,osobne kolumny dla agentów,,,,,FALSE,6 rat,FALSE,,FALSE,"0,00 zł",FALSE,"0,00 zł",,#VALUE!,"0,00 zł","0,00 zł","0,00 zł",#VALUE!,"0,00 zł","0,00 zł",#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,00 zł",#VALUE!,"0,00 zł","0,00 zł"
,,,,,"0,00 zł",,"0,00%",,,,,,,FALSE,,FALSE,,FALSE,"0,00 zł",FALSE,"0,00 zł",,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł"
,,,,,"0,00 zł",,"0,00%",,,,,,,FALSE,,FALSE,,FALSE,"0,00 zł",FALSE,"0,00 zł",,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł"
,,,,,"0,00 zł",,"0,00%",,,,,,,FALSE,,FALSE,,FALSE,"0,00 zł",FALSE,"0,00 zł",,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł"
